Id,Name,Alt Name,Counties,IsBrook,IsBrookStocked,IsBrown,IsBrownStocked,IsRainbow,IsRainbowStocked,Status,QA PASS
M-009-017-010,Ahrensfeld Creek,,Winona,TRUE,,TRUE,,,,,
M-050-050-001,Albrechts Creek,,Pine,,,,,,,,
S-005-001,Amity Creek,,St. Louis,TRUE,,,,TRUE,,,
S-005-001-001,"Amity Creek, East Branch",,St. Louis,TRUE,,,,,,,
S-000.7-003,Anderson Creek,,Carlton,TRUE,,,,,,,
H-001-030-026-004,Angora Creek,,St. Louis,,,,,,,,
H-001-092-021-015-002,Arrowhead Creek,,Lake,,,,,,,,
H-001-040,Ash River,,St. Louis,,,,,,,,
S-075-008,Assinika Creek,,Cook,,,,,,,,
M-055-017,Assumption Creek,,Carver,TRUE,TRUE,,,,,,
H-026-047-041,Auganash Creek,,Clearwater,,,,,,,,
H-026-047-033-001,Bad Boy Creek,,Mahnomen,,,,,,,,
H-026-047-033-001-001,Bad Boy Creek,,"Mahnomen,Clearwater",,,,,,,,
M-009-010-002,Badger Creek,,Houston,TRUE,,TRUE,,,,,
M-009-010-002-B001,Badger Creek,,Houston,TRUE,,TRUE,,,,,
M-004-007,Ballpark Creek,,Houston,,,TRUE,,,,,
S-064-007,Bally Creek,,Cook,,,,,,,,
M-050-049-003,Bangs Brook,,Pine,,,,,,,,
S-038,Baptism River,,Lake,,,,,,,,
S-038-B001,Baptism River,,Lake,,,,,,,,
S-038-008,"Baptism River, East Branch",,Lake,,,,,,,,
M-063-081-003,Barbour Creek,,Crow Wing,,,,,,,,
S-058-005,Barker Creek,,Cook,,,,,,,,
M-050-049-005-000.1,Barnes Spring,,Pine,,,,,,,,
H-026-030-070-001,"Battle River, South Branch",,"Koochiching,Beltrami",,,,,,,,
M-026-006,Bear Creek,,Winona,TRUE,,TRUE,,,,,
S-002-016-001,Beartrap Creek,,St. Louis,TRUE,,,,,,,
S-002-016-001-B001,Beartrap Creek,,St. Louis,TRUE,,,,,,,
H-001-040-027-003,Beauty Creek,,St. Louis,,,,,,,,
M-009-010-003,Beaver Creek,,Houston,,,TRUE,TRUE,TRUE,TRUE,,
M-031-006,Beaver Creek,,"Winona,Wabasha",,,TRUE,,,,,
M-009-010-003-008,"Beaver Creek, East",,Houston,TRUE,,TRUE,,,,,
M-009-010-003-009,"Beaver Creek, West",,Houston,TRUE,,TRUE,,,,,
S-035,Beaver River,,Lake,,,,,,,,
S-035-001,"Beaver River, East Branch",,Lake,,,,,,,,
S-035-006,"Beaver River, West Branch",,Lake,,,,,,,,
S-088-009-001,Beaverdam Creek,,Cook,,,,,,,,
I-006,Bee Creek,,Houston,TRUE,,TRUE,,,,,
H-024-055-007,Bemis Hill Creek,,Roseau,,,,,,,,
S-002-016-017-001,Berry Creek,,"Lake,St. Louis",TRUE,,TRUE,,,,,
M-009-021,Big Springs Creek,,Fillmore,TRUE,,TRUE,,,,,
S-015,Big Sucker Creek,,St. Louis,,,,,,,,
S-035-010,Big Thirtynine Creek,,Lake,,,,,,,,
M-050-050-002-003,Bjorks Creek,,Pine,,,,,,,,
M-063-087-003-001-001,Black Bear Brook,,Crow Wing,,,,,,,,
M-055-004,Black Dog Creek,,Dakota,,,,,,,,
H-001-040-017,Black Duck River,,St. Louis,,,,,,,,
M-103-001-002,Blackhoof Creek,,Crow Wing,,,,,,,,
S-001-003,Blackhoof River,,Carlton,,,,,,,,
S-001-003-B002,Blackhoof River,,Carlton,,,,,,,,
S-038-008-006,Blesner Creek,,Lake,,,,,,,,
S-053-006,Blind Temperance Creek,,Cook,,,,,,,,
S-075-013,Bluff Creek,,Cook,,,,,,,,
M-063-087-003,Borden Creek,,Crow Wing,TRUE,TRUE,,,,,,
M-009-017-006,Borson Spring,,Winona,TRUE,,TRUE,,,,,
H-026-081-017-006,Brandberg Creek,,Otter Tail,,,,,,,,
M-065-011,Briggs Creek,,"Benton,Sherburne",,,,,,,,
M-050-012,Brown's Creek,,Washington,,,TRUE,TRUE,,,,
M-128-003,Bruce Creek,,Itasca,,,,,,,,
M-128-003-B001,Bruce Creek,,Itasca,,,,,,,,
S-075,Brule River,,Cook,,,,,,,,
M-009-004,Brush Valley Creek,,Houston,,,TRUE,,,,,
H-026-047-042,Buckboard Creek,,Clearwater,,,,,,,,
S-002-000.5,Buckingham Creek,,St. Louis,,,,,,,,
S-029-002,Bud Creek,,Lake,,,,,,,,
M-045,Bullard Creek,,Goodhue,TRUE,,,,,,,
M-106-013-004,Bungo Creek,,Cass,,,,,,,,
M-146-017-003,Bungoshine Creek,,Hubbard,,,,,,,,
M-078-002,Bunker Hill Creek,,"Morrison,Benton",TRUE,,TRUE,,,,,
M-001-010,Burg Creek,Berg Creek,Houston,,,TRUE,,,,,
M-024-002,"Burns Valley Creek, East",,Winona,TRUE,,TRUE,,,,,
M-024-002-001,"Burns Valley Creek, West",,Winona,TRUE,,TRUE,,,,,
S-053-014-001,Burnt Creek,,Cook,,,,,,,,
M-009-001-001,Butterfield Creek,,Houston,TRUE,,TRUE,,,,,
S-045-008-001,Cabin Creek,,Lake,,,,,,,,
M-063-081-001-002,Camp Creek,,Crow Wing,,,,,,,,
M-009-025-003,Camp Creek,,Fillmore,,,TRUE,TRUE,TRUE,TRUE,,
M-009-025-003-B001,Camp Creek,,Fillmore,,,TRUE,TRUE,TRUE,TRUE,,
H-001-092-021-015-002-001-001,Camp Creek,,Lake,,,,,,,,
H-001-092-016-006,Camp E Creek,,Lake,,,,,,,,
M-009-019,Camp Hayward Creek,,Fillmore,TRUE,,TRUE,,,,,
M-095.1,Camp Ripley Brook,,Morrison,TRUE,,,,,,,
M-009-011-002,Campbell Creek,,"Winona,Houston",TRUE,,,,,,,
M-055-166-010,Canby Creek,,"Yellow Medicine,Lac qui Parle,Lincoln",,,,,,,,
M-009-025-010,Canfield Creek,,Fillmore,,,TRUE,,,,,
S-017-004-002,Captain Jacobson Creek,,St. Louis,TRUE,,TRUE,,TRUE,,,
S-058-002,Caribou Creek,,Cook,,,,,,,,
S-047,Caribou River,,Lake,,,,,,,,
S-079,Carlson Creek,,Cook,TRUE,,,,,,,
S-064,Cascade River,,Cook,,,,,,,,
S-024,Castle Danger Creek,,Lake,,,,,TRUE,,,
M-096-028,Cat River,,Wadena,,,,,,,,
M-106-013-006,Cedar Creek,,Cass,,,,,,,,
S-053-002-001,Cedar Creek,,Cook,,,,,,,,
S-035-001-002,Cedar Creek,,Lake,,,,,,,,
M-018,Cedar Valley Creek,,Winona,TRUE,,TRUE,,,,,
S-002-016-002,Chalberg Creek,,St. Louis,,,,,,,,
S-003,Chester Creek,,St. Louis,,,,,,,,
S-003-009,"Chester Creek, East Branch",,St. Louis,,,,,,,,
S-002-016-005,Chicken Creek,,St. Louis,,,,,,,,
S-002-016-005-B002,Chicken Creek,,St. Louis,,,,,,,,
M-009-010-010-002,Chickentown Creek,,Fillmore,TRUE,,,,,,,
S-000.7-002.5,Clear Creek,,Carlton,,,,,,,,
S-001.5,Clear Creek,,Carlton,,,,,,,,
M-043-006,Clear Creek,,Goodhue,TRUE,,,,,,,
H-026-030-019,Clearwater River,,"Polk,Mahnomen,Red Lake,Pennington,Clearwater,Beltrami",,,,,,,,
H-026-030-019-B001,Clearwater River,,Red Lake,,,,,,,,
S-069,Cliff Creek,,Cook,,,,,,,,
S-002-016-027,Cloudy Spring Creek,,Lake,,,,,,,,
S-002-000.7,Coffee Creek,,St. Louis,,,,,,,,
M-159-001.5,Cold Creek,,Hubbard,,,,,,,,
M-034-048,Cold Spring Brook,,"Wabasha,Goodhue",TRUE,,TRUE,,,,,
M-074-004,Cold Springs Creek,,Stearns,,,,,,,,
M-074-004-001,Cold Springs Creek,,Stearns,,,,,,,,
M-050-049-003-002,Cons Creek,,Pine,,,,,,,,
S-002-035-019-002,Coolidge Creek,,St. Louis,,,,,,,,
M-009-017-005-005,Coolridge Creek,,Winona,TRUE,,TRUE,,,,,
M-009-017-005-005-B001,Coolridge Creek,,Winona,TRUE,,TRUE,,,,,
M-009-011-005,Corey Creek,,Winona,TRUE,,,,,,,
M-096-001-005-002-001,Cory Brook,,Cass,TRUE,,,,,,,
M-055-158-014,Cottonwood Creek,,"Chippewa,Swift",,,,,,,,
M-050-034-001-001,County Ditch 3,,Chisago,,,,,,,,
M-004,Crooked Creek,,Houston,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,
M-050-049,Crooked Creek,,Pine,,,TRUE,TRUE,TRUE,TRUE,,
M-004-009,"Crooked Creek, South Fork",,Houston,TRUE,TRUE,TRUE,TRUE,,,,
M-050-049-005,"Crooked Creek, West Fork",,Pine,TRUE,,,,,,,
S-052-B000.1,Cross River,,Cook,,,,,,,,
S-052-B000.3,Cross River,,Cook,,,,,,,,
S-052-B000.5,Cross River,,Cook,,,,,,,,
S-052-B000.5-001,Cross River,,Cook,,,,,,,,
S-052-B001,Cross River,,Cook,,,,,,,,
S-052,Cross River,,"Lake,Cook",,,,,,,,
S-023,Crow Creek,,Lake,,,,,,,,
S-038-012,Crown Creek,,Lake,,,,,,,,
M-009-025-004-004,Crystal Creek,,Fillmore,,,TRUE,,,,,
M-009-007,Crystal Creek,,Houston,TRUE,,TRUE,,,,,
M-050-052,Crystal Creek,,Pine,,,,,,,,
M-096-001-007-001,Cullen Brook,,Crow Wing,,,,,,,,
S-065,Cut Face Creek,,Cook,,,,,,,,
M-106-013-005,Dabill Creek,,Cass,,,,,,,,
S-026-002,Dago Creek,,Lake,,,,,,,,
M-014,Dakota Creek,,Winona,TRUE,,TRUE,,,,,
M-014-B001,Dakota Creek,,Winona,TRUE,,TRUE,,,,,
M-009-012,Daley Creek,,"Fillmore,Houston",TRUE,,TRUE,,,,,
H-001-030-023-008,Dark River,,St. Louis,,,,,,,,
